time,control_bump_0,control_bump_1,control_drive_0,control_drive_1,control_vision_0,control_vision_1,drive,decoder_driveout,decoder_bumpout,decoder_bumpout-filtered,decoder_vision,decoder_positionout
0.340,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.757;0.181,0.569;-1.034,0.132;-0.244,-0.168;0.154,0.354;-0.117
0.351,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.032;-0.095,1.023;-2.686,0.169;-0.154,-0.334;0.224,-0.025;-0.287
0.360,0.000,0.000,1.000,0.271,0.000,0.000,0.000;0.000,0.917;0.093,1.150;-3.149,0.334;0.121,0.246;-0.344,0.298;-0.530
0.370,0.000,0.000,1.000,0.746,0.000,0.000,0.000;0.000,1.107;0.230,0.502;-1.379,-0.172;0.631,0.574;-0.815,0.612;-0.132
0.381,0.000,0.000,1.000,0.920,0.000,0.000,0.000;0.000,1.085;0.066,0.251;-0.664,-0.558;0.919,0.200;-0.692,0.680;-0.292
0.391,0.000,0.000,1.000,0.972,0.000,0.000,0.000;0.000,0.829;-0.171,0.385;-0.608,-0.481;0.871,-0.099;-0.486,0.442;-0.177
0.400,0.000,0.000,1.000,0.989,0.000,0.000,0.000;0.000,0.745;-0.248,0.429;-0.590,-0.286;0.530,-0.323;0.099,0.756;0.508
0.411,0.000,0.000,1.000,0.997,0.000,0.000,0.000;0.000,0.708;-0.282,0.448;-0.582,0.255;-0.098,-0.579;0.194,0.560;0.204
0.421,0.000,0.000,1.000,0.429,0.000,0.000,0.000;0.000,0.886;-0.296,-0.520;-0.579,0.274;-0.085,-0.337;0.302,0.585;0.592
0.430,0.000,0.000,1.000,0.166,0.000,0.000,0.000;0.000,1.008;-0.058,-0.079;-0.224,0.045;-0.652,-0.257;0.337,0.397;0.274
0.441,0.000,0.000,1.000,0.052,0.000,0.000,0.000;0.000,0.949;0.113,-0.067;-0.101,-0.101;-0.352,-0.286;0.295,0.561;0.119
0.451,0.000,0.000,1.000,0.018,0.000,0.000,0.000;0.000,0.980;0.004,-0.774;-0.320,-0.182;-0.252,-0.168;0.156,0.424;0.035
0.460,0.000,0.000,1.000,0.007,0.000,0.000,0.000;0.000,1.122;-0.585,-1.006;-0.392,-0.428;0.046,-0.271;-0.143,0.400;0.187
0.471,0.000,0.000,1.000,0.002,0.000,0.000,0.000;0.000,0.793;-0.103,-1.106;-0.423,0.075;-0.141,-0.308;-0.321,1.107;0.550
0.481,0.000,0.000,1.000,0.001,0.000,0.000,0.000;0.000,0.559;0.167,-0.596;-0.228,-0.145;0.044,-0.319;-0.379,0.882;0.281
0.490,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.525;0.617,-0.231;-0.088,-0.445;-0.012,-0.329;-0.354,0.537;0.094
0.500,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.752;0.904,-0.125;-0.432,-0.190;-0.008,-0.333;-0.340,0.510;0.032
0.511,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.517;0.507,-1.063;-0.355,-0.099;0.103,-0.335;-0.334,0.446;-0.075
0.521,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.563;0.656,-1.343;-0.333,-0.086;-0.212,-0.336;-0.333,0.890;0.469
0.531,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,0.950;0.442,-0.468;-0.116,0.189;0.063,-0.053;-0.234,0.776;0.253
0.540,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.296;-0.011,-0.181;-0.045,0.059;-0.073,0.171;-0.051,0.691;-0.062
0.550,0.000,0.000,1.000,0.000,0.000,0.000,0.000;0.000,1.340;-0.265,-0.064;0.061,0.375;0.031,0.598;-0.242,0.348;-0.090
0.560,0.000,0.000,1.000,0.570,0.000,0.000,0.000;0.000,1.314;-0.394,-0.022;0.021,-0.143;-0.092,0.364;0.105,0.881;0.789
0.571,0.000,0.000,1.000,0.865,0.000,0.000,0.000;0.000,1.422;-0.340,-0.007;0.007,0.155;-0.567,-0.350;-0.211,0.760;0.150
0.581,0.000,0.000,1.000,0.953,0.000,0.000,0.000;0.000,0.662;-0.198,-0.002;0.002,0.546;-0.212,0.135;-0.456,0.684;0.163
0.591,0.000,0.000,1.000,0.984,0.000,0.000,0.000;0.000,1.243;0.196,-0.001;0.001,-0.915;0.194,-0.165;-0.519,0.970;0.318
0.600,0.000,0.000,1.000,0.994,0.000,0.000,0.000;0.000,1.383;0.047,-0.000;0.000,-0.507;0.315,0.018;-0.238,0.376;0.123
0.610,0.000,0.000,1.000,0.998,0.000,0.000,0.000;0.000,1.525;0.050,0.228;0.144,-0.180;0.181,0.058;-0.038,0.462;0.287
0.620,0.000,0.000,1.000,0.999,0.000,0.000,0.000;0.000,1.091;0.098,0.080;0.050,0.151;0.561,0.031;-0.032,0.795;0.576
0.631,0.000,0.000,1.000,1.000,0.000,0.000,0.000;0.000,1.384;-0.188,0.025;0.016,-0.040;0.298,-0.091;-0.090,0.590;0.379
0.641,0.000,0.000,1.000,0.478,0.000,0.000,0.000;0.000,1.636;-0.234,0.009;0.006,0.306;0.297,0.334;0.364,0.240;0.303
